scenario,policy,episodes,terminal_causes
S0_circular,uniform16,20,collision=1;stranded=19
S0_circular,burn_heavy,20,collision=1;stranded=19
S0_circular,warp_burn,20,safety_cap=15;stranded=5
S0_circular,theta90,20,stranded=20
S0_circular,periapsis,20,stranded=20
S0_circular,burst,20,collision=4;stranded=16
S0_circular,coast_warp,20,safety_cap=20
S1_headline,uniform16,20,collision=2;stranded=18
S1_headline,burn_heavy,20,collision=1;stranded=19
S1_headline,warp_burn,20,safety_cap=13;stranded=7
S1_headline,theta90,20,stranded=20
S1_headline,periapsis,20,stranded=20
S1_headline,burst,20,collision=3;stranded=17
S1_headline,coast_warp,20,safety_cap=20
S2_sameorbit,uniform16,20,collision=1;stranded=19
S2_sameorbit,burn_heavy,20,collision=1;stranded=19
S2_sameorbit,warp_burn,20,collision=1;safety_cap=10;stranded=9
S2_sameorbit,theta90,20,stranded=20
S2_sameorbit,periapsis,20,stranded=20
S2_sameorbit,burst,20,collision=2;stranded=18
S2_sameorbit,coast_warp,20,safety_cap=20
S3_hi_e,uniform16,20,stranded=20
S3_hi_e,burn_heavy,20,stranded=20
S3_hi_e,warp_burn,20,collision=2;safety_cap=12;stranded=6
S3_hi_e,theta90,20,stranded=20
S3_hi_e,periapsis,20,stranded=20
S3_hi_e,burst,20,collision=2;stranded=18
S3_hi_e,coast_warp,20,safety_cap=20
S4_hi_e_sameorb,uniform16,20,stranded=20
S4_hi_e_sameorb,burn_heavy,20,collision=1;stranded=19
S4_hi_e_sameorb,warp_burn,20,collision=2;safety_cap=11;stranded=7
S4_hi_e_sameorb,theta90,20,collision=1;stranded=19
S4_hi_e_sameorb,periapsis,20,stranded=20
S4_hi_e_sameorb,burst,20,collision=1;stranded=19
S4_hi_e_sameorb,coast_warp,20,safety_cap=20
S5_fixed_e10,uniform16,20,collision=18;stranded=2
S5_fixed_e10,burn_heavy,20,collision=15;stranded=5
S5_fixed_e10,warp_burn,20,collision=19;stranded=1
S5_fixed_e10,theta90,20,collision=19;stranded=1
S5_fixed_e10,periapsis,20,collision=17;stranded=3
S5_fixed_e10,burst,20,collision=13;stranded=7
S5_fixed_e10,coast_warp,20,collision=16;safety_cap=4
S6_debris_path,uniform16,20,stranded=20
S6_debris_path,burn_heavy,20,collision=1;stranded=19
S6_debris_path,warp_burn,20,safety_cap=9;stranded=11
S6_debris_path,theta90,20,collision=1;stranded=19
S6_debris_path,periapsis,20,stranded=20
S6_debris_path,burst,20,collision=2;stranded=18
S6_debris_path,coast_warp,20,safety_cap=20
