file,success,cause,gap0_deg,da0_km,e_t,e_s,steps,dv,hohmann,shape_lb,burn_records,warp_share,final_dist_km,final_rvel
ep_0000001.npz,1,1,-16.18,-167.7,0.0128,0.0293,139,175.0,90.5,137.8,7,0.943,29.86,45.0
ep_0000002.npz,1,1,-158.11,-202.2,0.0457,0.0193,972,270.0,107.6,209.5,12,0.988,29.0,21.77
ep_0000003.npz,1,1,-136.33,188.3,0.0116,0.016,1365,160.0,105.7,105.7,7,0.995,29.33,28.61
ep_0000004.npz,1,1,-25.29,105.8,0.0238,0.0209,354,200.0,59.1,61.7,8,0.975,29.44,22.41
ep_0000005.npz,1,1,13.4,-276.6,0.0301,0.0188,542,235.0,152.1,152.1,10,0.98,29.55,18.31
ep_0000006.npz,1,1,167.2,147.4,0.0206,0.0025,871,200.0,79.6,79.6,8,0.991,29.08,39.55
ep_0000007.npz,1,1,37.39,-130.3,0.0071,0.0348,501,220.0,69.6,156.4,10,0.978,29.78,46.51
ep_0000008.npz,1,1,28.7,-300.3,0.0314,0.0023,533,280.0,162.4,162.4,13,0.974,28.63,46.07
ep_0000009.npz,1,1,30.91,132.3,0.0235,0.0134,378,145.0,74.1,129.7,7,0.979,29.29,40.75
ep_0000010.npz,1,1,35.2,167.8,0.0278,0.0096,475,95.0,91.2,91.2,5,0.989,30.0,41.22
ep_0000011.npz,1,1,54.63,257.7,0.0149,0.0122,608,185.0,141.0,141.0,8,0.987,29.11,43.21
ep_0000012.npz,1,1,177.89,-77.5,0.0106,0.0471,871,300.0,40.9,209.1,12,0.985,29.86,40.0
ep_0000013.npz,1,1,36.87,207.3,0.0094,0.0463,515,250.0,110.3,209.1,10,0.979,29.62,34.28
ep_0000014.npz,1,1,17.93,-326.0,0.0313,0.0255,695,270.0,178.0,178.0,12,0.981,28.85,41.18
ep_0000015.npz,1,1,-137.66,-180.5,0.0164,0.0022,832,205.0,96.6,96.6,10,0.987,29.48,28.28
ep_0000016.npz,1,1,49.14,-167.6,0.0123,0.0082,1089,200.0,93.5,93.5,8,0.992,29.13,23.62
ep_0000017.npz,1,1,-35.22,225.9,0.0307,0.029,664,295.0,123.0,221.7,13,0.98,28.65,40.4
ep_0000018.npz,1,1,33.57,173.8,0.035,0.0046,272,200.0,94.9,129.0,8,0.971,29.12,34.72
ep_0000019.npz,1,1,11.01,-283.1,0.0272,0.0077,530,185.0,155.1,155.1,8,0.983,28.38,42.81
ep_0000020.npz,1,1,-66.44,188.8,0.0157,0.0445,588,350.0,103.1,227.0,14,0.976,28.83,43.92
ep_0000021.npz,1,1,-143.25,377.6,0.0,0.0149,1180,250.0,206.7,206.7,12,0.99,29.99,40.93
ep_0000022.npz,1,1,-173.71,183.4,0.0255,0.0089,955,235.0,99.0,130.1,10,0.99,24.78,49.87
ep_0000023.npz,1,1,-44.51,-356.2,0.0121,0.009,310,195.0,195.9,195.9,9,0.971,28.69,29.14
ep_0000024.npz,1,1,-24.44,-148.5,0.0013,0.0492,404,255.0,79.0,179.9,12,0.968,29.66,41.45
ep_0000025.npz,1,1,-16.36,-96.5,0.0253,0.0241,222,165.0,51.7,110.6,8,0.964,29.9,35.42
ep_0000026.npz,1,1,-66.63,473.0,0.0109,0.0427,1248,385.0,259.2,259.2,16,0.987,29.73,48.56
ep_0000027.npz,1,1,102.69,261.4,0.0259,0.0195,626,135.0,143.2,143.2,6,0.99,29.9,45.63
ep_0000028.npz,1,1,168.47,260.5,0.0149,0.0218,985,205.0,142.1,142.1,9,0.991,29.51,34.65
ep_0000029.npz,1,1,-90.93,-197.5,0.003,0.0174,540,150.0,109.2,109.2,6,0.987,29.32,39.66
ep_0000030.npz,1,1,-171.65,227.6,0.0059,0.008,1171,110.0,125.0,125.0,5,0.996,28.8,30.31
ep_0000031.npz,1,1,174.67,-136.6,0.0039,0.0271,1007,210.0,75.7,103.0,9,0.991,28.49,38.13
ep_0000032.npz,1,1,-171.27,312.7,0.0042,0.027,1201,200.0,173.7,173.7,10,0.992,29.91,36.28
ep_0000033.npz,1,1,168.56,175.2,0.0182,0.0159,1125,230.0,94.0,128.7,11,0.99,28.39,28.86
ep_0000034.npz,1,1,65.63,65.2,0.0089,0.0255,561,175.0,34.4,83.1,7,0.988,29.88,24.03
ep_0000035.npz,1,1,17.96,-74.9,0.022,0.0131,649,215.0,40.0,131.3,10,0.983,29.45,42.89
ep_0000036.npz,1,1,-36.99,-127.1,0.0163,0.0362,327,185.0,68.2,154.8,8,0.976,10.93,49.74
ep_0000037.npz,1,1,172.57,-254.2,0.0366,0.0145,829,175.0,141.5,141.5,7,0.992,28.87,38.99
ep_0000038.npz,1,1,160.33,55.6,0.0185,0.0301,836,250.0,29.5,43.9,10,0.987,27.95,46.34
ep_0000039.npz,1,1,143.77,321.9,0.0129,0.0118,744,195.0,179.8,179.8,9,0.988,28.4,40.9
ep_0000040.npz,1,1,-140.66,-206.5,0.0104,0.0099,766,170.0,115.8,115.8,8,0.988,29.79,26.63
ep_0000041.npz,1,1,83.76,61.8,0.0074,0.04,600,255.0,32.9,172.5,12,0.98,29.4,34.13
ep_0000042.npz,1,1,123.79,-120.8,0.0244,0.0275,830,330.0,65.8,177.6,15,0.981,29.8,29.23
ep_0000043.npz,1,1,15.86,-88.0,0.0186,0.0128,509,95.0,46.6,46.6,5,0.988,25.02,49.74
ep_0000044.npz,1,1,127.05,-198.1,0.0057,0.0279,1170,215.0,109.9,109.9,10,0.991,28.22,38.7
ep_0000045.npz,1,1,-136.54,214.5,0.0084,0.0337,1155,220.0,119.6,129.5,10,0.991,29.59,21.62
ep_0000046.npz,1,1,-7.36,206.9,0.0471,0.0469,186,310.0,111.5,249.9,13,0.925,29.75,39.4
ep_0000047.npz,1,1,155.57,155.7,0.0187,0.031,996,185.0,84.3,84.3,8,0.991,29.74,34.35
ep_0000048.npz,1,1,76.78,62.3,0.0288,0.0124,757,195.0,32.6,61.4,9,0.987,29.76,40.29
ep_0000049.npz,1,1,177.99,-262.1,0.011,0.0115,865,185.0,140.5,140.5,8,0.99,29.64,25.04
ep_0000050.npz,1,1,-152.13,233.3,0.0475,0.0473,996,270.0,124.8,205.1,12,0.988,29.94,41.91
ep_0000051.npz,1,1,121.08,-281.3,0.0495,0.0368,1055,185.0,152.5,152.5,8,0.992,27.55,44.2
ep_0000052.npz,1,1,149.21,-146.4,0.0485,0.0108,1009,285.0,80.6,149.1,12,0.987,29.99,23.49
ep_0000053.npz,1,1,155.78,-278.9,0.0295,0.0076,827,185.0,151.2,151.2,8,0.989,29.47,23.95
ep_0000054.npz,1,1,-151.76,-100.7,0.0035,0.023,1145,210.0,54.2,99.3,11,0.99,29.46,40.52
ep_0000055.npz,1,1,-51.84,251.2,0.0005,0.0204,647,260.0,134.3,134.3,11,0.981,29.76,24.26
ep_0000056.npz,1,1,-6.11,-339.6,0.0352,0.0086,432,260.0,187.3,187.3,11,0.975,29.42,37.79
ep_0000057.npz,1,1,179.42,-188.1,0.0114,0.0167,933,175.0,102.9,102.9,7,0.993,28.93,21.01
ep_0000058.npz,1,1,129.93,-100.0,0.004,0.0058,1124,295.0,55.2,55.2,13,0.988,29.7,41.19
ep_0000059.npz,1,1,19.82,319.7,0.0236,0.0262,224,195.0,174.1,174.1,9,0.96,29.75,31.95
ep_0000060.npz,1,1,80.07,-163.7,0.0053,0.007,862,245.0,90.4,90.4,11,0.986,29.02,21.72
ep_0000061.npz,1,1,118.54,-102.5,0.05,0.0345,1057,225.0,55.2,67.3,9,0.991,29.74,12.13
ep_0000062.npz,1,1,73.28,225.8,0.032,0.0095,517,175.0,120.8,157.6,7,0.986,22.49,35.42
ep_0000063.npz,1,1,-51.65,-76.9,0.0018,0.0027,585,85.0,43.0,43.0,4,0.991,25.48,47.67
ep_0000064.npz,1,1,-79.41,286.5,0.0113,0.0111,981,350.0,154.7,154.7,16,0.983,28.95,26.68
ep_0000065.npz,1,1,-109.85,396.6,0.0182,0.0164,972,210.0,215.1,215.1,9,0.991,28.49,37.78
ep_0000066.npz,1,1,3.8,81.5,0.0158,0.0285,333,195.0,44.1,145.5,9,0.97,29.72,42.07
ep_0000067.npz,1,1,-91.37,99.5,0.0163,0.0394,695,330.0,55.4,182.6,15,0.977,28.52,43.31
ep_0000068.npz,1,1,46.09,-58.4,0.0496,0.0421,805,175.0,31.9,69.9,9,0.989,29.46,34.82
ep_0000069.npz,1,1,140.88,233.7,0.0185,0.014,850,175.0,130.7,130.7,7,0.992,29.69,45.71
ep_0000070.npz,1,1,-157.0,-69.5,0.0015,0.0408,731,275.0,37.3,149.3,11,0.984,17.47,33.47
ep_0000071.npz,1,1,-174.25,-250.5,0.0178,0.0277,1084,185.0,137.6,137.6,8,0.993,28.56,39.9
ep_0000072.npz,1,1,136.22,275.2,0.0148,0.0296,798,245.0,149.6,167.0,11,0.985,28.71,46.59
ep_0000073.npz,1,1,-33.51,-184.1,0.0391,0.0276,327,95.0,98.2,98.2,5,0.985,29.23,28.4
ep_0000074.npz,1,1,99.58,227.3,0.0117,0.0218,655,120.0,126.3,126.3,6,0.991,29.5,26.39
ep_0000075.npz,1,1,122.25,-124.9,0.0097,0.0242,958,335.0,67.1,83.1,14,0.984,29.83,36.69
ep_0000076.npz,1,1,72.82,-65.3,0.0305,0.0304,665,260.0,36.6,214.8,11,0.982,28.28,49.87
ep_0000077.npz,1,1,-88.52,-128.7,0.0047,0.0152,581,160.0,72.8,72.8,7,0.988,29.5,32.6
ep_0000078.npz,1,1,-98.04,-251.3,0.0445,0.0229,515,185.0,135.2,135.2,8,0.983,29.02,33.99
ep_0000079.npz,1,1,-93.1,110.6,0.0043,0.0106,947,245.0,61.1,61.1,11,0.987,29.72,28.2
ep_0000080.npz,1,1,-158.54,166.5,0.0258,0.0421,1193,285.0,88.9,237.9,12,0.99,28.95,33.66
ep_0000081.npz,1,1,-90.18,-71.3,0.0389,0.0321,602,245.0,39.4,97.1,11,0.98,29.06,26.59
ep_0000082.npz,1,1,-119.86,-249.1,0.0311,0.0142,684,195.0,133.5,133.5,9,0.987,29.9,36.76
ep_0000083.npz,1,1,72.3,257.8,0.0091,0.005,675,135.0,140.9,140.9,6,0.991,28.07,39.09
ep_0000084.npz,1,1,-112.46,414.9,0.0162,0.0347,868,220.0,227.3,227.3,10,0.988,28.8,48.73
ep_0000085.npz,1,1,-44.83,117.2,0.0398,0.042,626,445.0,61.8,306.5,19,0.968,27.87,42.85
ep_0000086.npz,1,1,-55.06,-201.1,0.0231,0.0129,466,110.0,113.5,113.5,5,0.989,29.68,24.75
ep_0000087.npz,1,1,-4.04,294.6,0.0152,0.0361,265,220.0,164.5,164.5,10,0.959,28.25,29.37
ep_0000088.npz,1,1,-144.71,72.4,0.0034,0.0245,1242,260.0,39.3,100.1,11,0.99,27.75,40.5
ep_0000089.npz,1,1,-130.33,277.7,0.0309,0.0034,923,225.0,148.9,148.9,9,0.99,20.22,48.97
ep_0000090.npz,1,1,116.88,-374.5,0.0265,0.0016,890,175.0,202.9,202.9,7,0.992,29.6,9.31
ep_0000091.npz,1,1,-32.48,96.7,0.0016,0.007,618,150.0,55.0,55.0,6,0.989,25.56,49.7
ep_0000092.npz,1,1,-123.85,-96.1,0.0282,0.0489,693,320.0,51.2,200.6,14,0.978,28.66,36.82
ep_0000093.npz,1,1,161.37,-195.7,0.0456,0.0342,1018,290.0,107.4,201.4,14,0.985,29.52,30.01
ep_0000094.npz,1,1,-12.72,-458.7,0.0223,0.0078,355,280.0,252.4,252.4,13,0.961,29.12,23.45
ep_0000095.npz,1,1,-113.05,159.9,0.0369,0.0236,918,360.0,84.6,228.2,15,0.984,29.08,42.05
ep_0000096.npz,1,1,12.63,180.9,0.0173,0.0263,298,180.0,96.7,159.4,9,0.967,29.56,22.6
ep_0000097.npz,1,1,-60.53,190.7,0.0431,0.0477,749,330.0,103.4,272.7,15,0.98,29.95,27.9
ep_0000098.npz,1,1,50.27,-158.0,0.0082,0.0368,716,205.0,85.2,107.2,10,0.985,29.51,35.4
ep_0000099.npz,1,1,-141.0,220.5,0.0321,0.0277,972,200.0,120.8,132.8,8,0.992,29.4,18.88
ep_0000100.npz,1,1,-87.96,-254.7,0.0276,0.0048,554,185.0,137.4,137.4,8,0.986,27.79,41.43
ep_0000101.npz,1,1,-96.0,122.9,0.0339,0.0219,772,275.0,66.7,128.8,11,0.986,29.58,15.46
ep_0000102.npz,1,1,-97.59,94.3,0.0091,0.0495,720,260.0,51.3,183.5,11,0.985,29.47,30.84
ep_0000103.npz,1,1,138.46,-139.3,0.041,0.0155,1025,300.0,78.3,165.8,12,0.988,25.76,46.38
ep_0000104.npz,1,1,55.46,-246.3,0.0284,0.0225,799,310.0,134.7,142.5,13,0.984,28.94,30.86
ep_0000105.npz,1,1,19.2,50.8,0.0463,0.0079,296,235.0,27.8,205.1,10,0.963,29.45,19.66
ep_0000106.npz,1,1,-63.99,-64.1,0.0213,0.0371,814,275.0,35.5,199.6,14,0.983,29.86,34.79
ep_0000107.npz,1,1,103.01,134.2,0.0412,0.0348,1015,260.0,73.5,161.7,13,0.987,28.93,29.51
ep_0000108.npz,1,1,-129.07,-268.0,0.0271,0.0419,551,260.0,143.5,202.8,11,0.978,28.62,43.15
ep_0000109.npz,1,1,-94.91,-252.5,0.0388,0.0003,549,185.0,136.6,145.2,8,0.985,29.9,32.25
ep_0000110.npz,1,1,77.3,244.4,0.0367,0.0244,661,240.0,132.0,209.3,12,0.98,28.9,38.9
