alt_lo_km,alt_hi_km,e_max,de_max,fuel_frac,budget_ms,da_max_km,horizon,n,frac_dv_ok,frac_time_ok,frac_feasible,dv_p50,dv_p90,steps_p50,steps_p90
300,800,0.05,-1,0.15,478.12987798780637,-1,2000,3000,0.9903333333333333,1.0,0.9903333333333333,241.74968177786516,373.48279797023275,1229.3649719501414,1884.2713416075871
300,800,0.05,-1,0.15,478.12987798780637,-1,3000,3000,0.9906666666666667,1.0,0.9906666666666667,229.30293195329224,365.92767894280576,1311.8208686723215,2673.443749738441
300,800,0.0,-1,0.15,478.12987798780637,-1,2000,3000,1.0,1.0,1.0,109.78391868226608,186.5871789079309,1229.3649719501414,1884.2713416075871
300,800,0.084,-1,0.15,478.12987798780637,-1,3000,3000,0.8523333333333334,1.0,0.8523333333333334,318.54609023603894,516.1218418627798,1311.8208686723215,2673.443749738441
300,2000,0.15,-1,0.15,478.12987798780637,-1,3000,3000,0.272,1.0,0.272,641.8056004085828,1063.2780823745052,558.6913602152199,2348.787776166613
300,8000,0.3,-1,0.15,478.12987798780637,-1,6000,3000,0.05633333333333333,1.0,0.05633333333333333,1357.9754145288546,2443.0298364785203,323.633866343062,2028.9460079321573
300,2000,0.15,-1,0.15,478.12987798780637,400,3000,3000,0.5016666666666667,1.0,0.5016666666666667,477.00057657121124,786.6947806721724,1414.4067333707676,2727.6266463040906
300,8000,0.3,-1,0.15,478.12987798780637,600,6000,3000,0.24433333333333335,1.0,0.24433333333333335,730.7492065002446,1297.153763065442,2072.596204409385,5476.732526422229
300,20200,0.5,-1,0.15,478.12987798780637,1000,12000,3000,0.166,0.9996666666666667,0.166,940.7715248436541,1782.069878526781,3711.8508876379847,11443.414474082958
300,2000,0.15,0.06,0.15,478.12987798780637,400,3000,3000,1.0,1.0,1.0,249.24051457455252,337.89208379621067,1372.292758465071,2707.1183046380925
300,8000,0.3,0.08,0.15,478.12987798780637,600,6000,3000,0.9846666666666667,1.0,0.9846666666666667,258.99041323490115,386.5277668544872,1996.4991993479712,5416.3629745292
300,20200,0.5,0.1,0.15,478.12987798780637,1000,12000,3000,0.93,1.0,0.93,246.8778420796221,439.3441345665145,3502.8830642889825,11310.505179510694
300,2000,0.15,-1,0.3,1049.335901693031,400,3000,3000,0.9893333333333333,1.0,0.9893333333333333,477.00057657121124,786.6947806721724,1414.4067333707676,2727.6266463040906
300,8000,0.3,-1,0.4,1502.846430991426,600,6000,3000,0.9513333333333334,1.0,0.9513333333333334,730.7492065002446,1297.153763065442,2072.596204409385,5476.732526422229
