episode,terminal_cause,success,steps,episode_orbits,a_sat_km,a_tgt_km,hohmann_dv,policy_dv,lambert_dv_immediate,lambert_dv_free,lambert_dv_timematched,ratio_immediate,ratio_free,ratio_timematched,best_tof_immediate_s,best_revs_immediate,best_wait_free_s,best_tof_free_s,best_revs_free,best_wait_tm_s,best_tof_tm_s,best_revs_tm,n_burns,teleport_net_deg,teleport_abs_deg,teleport_coast_deg
ep_0000001.npz,1,1,139,1.407411594437866,6909.9425,7077.6535,90.52201825644806,175.0,253.35053428657739,199.95678673635427,210.15086908104416,0.6907425732998408,0.8751890988863502,0.8327350763061164,3664.7021881435658,0,3340.671347206043,10552.060024938279,1,3338.8300535057774,4796.775157786643,0,7,-4.9155733916391284e-06,0.00011318822735218427,0.00010989038625639829
ep_0000002.npz,1,1,972,9.66892539042872,6959.525,7161.7455,107.60484059676855,270.0,845.5170749990059,845.5170749990059,222.27303838927153,0.3193312210759522,0.3193312210759522,1.214722226125974,14566.785518131412,2,0.0,14566.785518131412,2,12444.856059611346,31612.28027500244,5,12,0.00012556160820935172,0.0007435473000397476,0.0007349516547092575
ep_0000003.npz,1,1,1365,14.943860013582107,6906.837,6718.517,105.72793582371469,160.0,984.0524459702006,984.0524459702006,125.12010218662996,0.16259296001469944,0.16259296001469944,1.2787713341325677,13914.219298032722,2,0.0,13914.219298032722,2,1666.8198529411766,79081.73725640711,13,7,-0.00016052097956057424,0.0010474322384422755,0.001037848757050155
ep_0000004.npz,1,1,354,3.817912447262166,6891.786,6785.9665,59.06595468416799,200.0,243.84171702763095,243.68644022151238,178.51067971880713,0.8202041981903243,0.8207268316538205,1.1203811464672209,15407.493571498899,2,532.3383690568421,10590.428331507765,1,326.2972689075631,20913.697236042775,3,8,-4.138974810622436e-06,0.000255581476528912,0.00025107036277522885
ep_0000005.npz,1,1,542,5.524482747350476,6769.7905,7046.3675,152.08426651636728,235.0,543.0894119736776,527.3515151102936,397.2927811084105,0.4327095959134441,0.44562306785228567,0.5915033224222487,16792.5298931417,2,4074.654220542638,11358.423647397974,1,3906.911477481618,28613.088372150225,4,10,1.5789333937493445e-05,0.00043175039322706116,0.0004268622647399906
ep_0000006.npz,1,1,871,9.12075127227138,7068.141,6920.7295,79.5535129699183,200.0,920.4008759241015,920.4008759241015,223.84660542185128,0.21729662066998348,0.21729662066998348,0.8934689879397052,14268.997124587182,2,0.0,14268.997124587182,2,494.05462184873954,48080.43789936339,7,8,2.4350240664530536e-05,0.0006230485477528916,0.0006188925147115127
ep_0000007.npz,1,1,501,5.040089662545887,6977.8625,7108.203,69.61336989449319,220.0,536.4931442011246,316.02681398012,174.4109547203851,0.4100704778391814,0.6961434608325335,1.2613886573392312,16699.27366458764,2,979.6191384715273,11625.682025514248,1,1357.0120470063025,28391.496634055868,4,10,1.834378294435902e-05,0.0003742003086651925,0.0003683571670591379
ep_0000008.npz,1,1,533,5.330841388165757,6835.602,7135.8845,162.3772689696507,280.0,404.61083943877645,404.61083943877645,353.5280081186877,0.6920229828453919,0.6920229828453919,0.7920164557541857,17720.73310372871,2,0.0,17720.73310372871,2,0.0,29630.636670524604,4,13,-1.2595744401501107e-05,0.00040189541192403084,0.00039144000897142414
ep_0000009.npz,1,1,378,4.1012724110664305,6891.211,6758.894,74.08168414230022,145.0,166.26022673116472,166.26022673116472,166.26022673116472,0.8721268029692901,0.8721268029692901,0.8721268029692901,9542.051839448954,1,0.0,9542.051839448954,1,0.0,9542.051839448954,1,7,2.3930091095886513e-05,0.00028214798499635944,0.00027911075287706305
ep_0000010.npz,1,1,475,5.022236449802583,7044.101,6876.3475,91.20093414058283,95.0,109.11369033216104,92.48284735582273,92.48077991926917,0.8706515168793529,1.027217508069282,1.0272404718356611,16320.504086702927,2,6534.415202088527,9789.041449540526,1,4234.795578387605,24234.565920301637,4,5,7.836998690650893e-06,0.00036257635844717486,0.0003597884187890336
