da_km,drift_deg_per_hr,capture_window_s,capture_window_min,n_60s_steps_in_window,n_warp5_steps_in_window,n_warp30_steps_in_window,n_warp60_steps_in_window,hours_to_close_180deg,roundtrip_dv_ms
1,0.04901885436404879,36479.122032495085,607.9853672082514,607.9853672082514,121.59707344165028,20.266178906941715,10.133089453470857,3672.056443081927,1.0963988058774703
2,0.09803770872809758,18239.561016247542,303.9926836041257,303.9926836041257,60.79853672082514,10.133089453470857,5.066544726735429,1836.0282215409634,2.1925600388858584
5,0.24509427182024396,7295.824406499018,121.5970734416503,121.5970734416503,24.31941468833006,4.053235781388343,2.0266178906941716,734.4112886163854,5.479619072566493
10,0.4901885436404879,3647.912203249509,60.79853672082515,60.79853672082515,12.15970734416503,2.0266178906941716,1.0133089453470858,367.2056443081927,10.95330653711062
20,0.9803770872809758,1823.9561016247544,30.399268360412574,30.399268360412574,6.079853672082515,1.0133089453470858,0.5066544726735429,183.60282215409634,21.882925120378786
23,1.1274336503731224,1586.0487840215253,26.434146400358756,26.434146400358756,5.286829280071751,0.8811382133452919,0.4405691066726459,159.65462796008376,25.157203026144998
50,2.4509427182024393,729.5824406499019,12.159707344165032,12.159707344165032,2.4319414688330063,0.40532357813883435,0.20266178906941718,73.44112886163855,54.53041884331833
100,4.9018854364048785,364.7912203249509,6.079853672082516,6.079853672082516,1.2159707344165032,0.20266178906941718,0.10133089453470859,36.72056443081927,108.47624478961734
116,5.686187106229661,314.4751899353024,5.241253165588374,5.241253165588374,1.0482506331176746,0.1747084388529458,0.0873542194264729,31.65565899208557,125.61697423579426
200,9.803770872809757,182.39561016247546,3.039926836041258,3.039926836041258,0.6079853672082516,0.10133089453470859,0.050665447267354294,18.360282215409637,214.65127161343116
340,16.666410483776588,107.29153538969145,1.7881922564948574,1.7881922564948574,0.3576384512989715,0.05960640854982858,0.02980320427491429,10.800166009064492,359.5673162740313
