alt_km,gap_deg,feasible,dv_one_way,dv_total,da_km,N,direction,drift_steps
300,-180,1,83.1235770631447,166.2471541262894,147.43283328937272,15,raise,1400.8055032431444
300,-135,1,103.07756802756649,206.15513605513297,184.0419782744013,15,raise,1412.1023218176858
300,-90,1,122.7175651745265,245.435130349053,220.5536277113473,15,raise,1423.3991403922273
300,-45,1,-20.288523040571818,40.577046081143635,-34.790190085915846,16,lower,1434.6959589667688
300,-15,1,-6.727498475375796,13.454996950751593,-11.58662978396099,16,lower,1442.2271713497967
300,15,1,6.692550400705841,13.385100801411681,11.576576296474785,16,raise,1449.7583837328243
300,45,1,21.29457586026274,42.58915172052548,37.00982706763223,15,raise,1366.91504751952
300,90,1,42.240690546339465,84.48138109267893,73.91783764406014,15,raise,1378.2118660940614
300,135,1,62.84743584128046,125.69487168256092,110.72514298401028,15,raise,1389.5086846686029
300,180,1,83.1235770631447,166.2471541262894,147.43283328937272,15,raise,1400.8055032431444
400,-180,1,82.50747327619865,165.0149465523973,149.64288925233762,15,raise,1432.4208997950377
400,-135,1,102.31356721991688,204.62713443983375,186.80081470483913,15,raise,1443.9726812449978
400,-90,1,-43.34893356003431,86.69786712006862,-75.44387804515753,15,lower,1363.110211095278
400,-45,1,-21.49198515167427,42.98397030334854,-37.669106484297664,15,lower,1374.661992545238
400,-15,1,-7.124051118971693,14.248102237943385,-12.544701108392328,15,lower,1382.3631801785448
400,15,1,7.084582652352765,14.16916530470553,12.533091002861969,15,raise,1390.064367811851
400,45,1,21.136742556013814,42.27348511202763,37.564613862231376,15,raise,1397.765555445158
400,90,1,41.927606697829106,83.85521339565821,75.02588497795351,15,raise,1409.317336895118
400,135,1,62.38161682109785,124.7632336421957,112.38494125989266,15,raise,1420.869118345078
400,180,1,82.50747327619865,165.0149465523973,149.64288925233762,15,raise,1432.4208997950377
500,-180,1,87.55445624973709,175.10891249947417,162.63659921718482,14,raise,1369.8015558564482
500,-135,1,-65.10196098611868,130.20392197223737,-114.99919977072346,15,lower,1381.6101899586588
500,-90,1,-43.03232887284594,86.06465774569187,-76.55809866316244,15,lower,1393.4188240608698
500,-45,1,-21.335015586862028,42.670031173724055,-38.22543651655782,15,lower,1405.2274581630804
500,-15,1,-7.072019666506094,14.144039333012188,-12.729972133476288,15,lower,1413.0998808978877
500,15,1,7.032839463066921,14.065678926133842,12.718190559837968,15,raise,1420.9723036326948
500,45,1,20.982367552625874,41.96473510525175,38.11940065682866,15,raise,1428.8447263675018
500,90,1,41.62138285994115,83.2427657198823,76.13393231184966,15,raise,1440.6533604697129
500,135,1,66.23432468595911,132.46864937191822,122.15509741083812,14,raise,1357.9929217542374
500,180,1,87.55445624973709,175.10891249947417,162.63659921718482,14,raise,1369.8015558564482
600,-180,1,-86.92406505112558,173.84813010225116,-155.7847318404922,15,lower,1399.8140764849968
600,-135,1,-64.63332574714605,129.2666514942921,-116.67288918668497,15,lower,1411.8814392133158
600,-90,1,-42.72256146462405,85.4451229292481,-77.67231928116828,15,lower,1423.9488019416347
600,-45,1,-21.18143587932991,42.36287175865982,-38.781766548817046,15,lower,1436.0161646699535
600,-15,1,-7.021111866245519,14.042223732491038,-12.915243158559315,15,lower,1444.0610731554996
600,15,1,7.479463968939854,14.958927937879707,13.824497477445751,14,raise,1355.5670798144938
600,45,1,22.306127142315745,44.61225428463149,41.432544283888305,14,raise,1363.61198830004
600,90,1,44.22167432529659,88.44334865059318,82.74304690561537,14,raise,1375.679351028359
600,135,1,65.75753814823838,131.51507629647676,123.93293320491259,14,raise,1387.7467137566778
600,180,1,-86.92406505112558,173.84813010225116,-155.7847318404922,15,lower,1399.8140764849968
700,-180,1,-86.30722455104569,172.61444910209138,-158.01948627802636,15,lower,1430.0426435166812
700,-135,1,-64.1746673427997,128.3493346855994,-118.34657860264647,15,lower,1442.3705973401009
700,-90,1,-45.5045802166469,91.0091604332938,-84.43111219781916,14,lower,1356.074920576163
700,-45,1,-22.54690011639923,45.09380023279846,-42.15216842530016,14,lower,1368.402874399583
700,-15,1,-7.470724032496037,14.941448064992073,-14.036730333369226,14,lower,1376.6215102818628
700,15,1,7.426387340594374,14.852774681188748,14.02281188681908,14,raise,1384.8401461641422
700,45,1,22.147835849641524,44.29567169928305,42.026900104916656,14,raise,1393.058782046422
700,90,1,43.9078634181642,87.8157268363284,83.93000784243364,14,raise,1405.3867358698417
700,135,1,65.29090197916776,130.5818039583355,125.71076899898704,14,raise,1417.7146896932613
700,180,1,-86.30722455104569,172.61444910209138,-158.01948627802636,15,lower,1430.0426435166812
800,-180,1,-92.05295702800686,184.10591405601372,-171.7708694327362,14,lower,1359.76257037936
800,-135,1,-68.40324975470321,136.80649950940642,-128.63215299975033,14,lower,1372.3529645495394
800,-90,1,-45.18618433694701,90.37236867389402,-85.62515988835506,14,lower,1384.9433587197186
800,-45,1,-22.389139291819447,44.778278583638894,-42.74829582489468,14,lower,1397.5337528898976
800,-15,1,-7.418451321945213,14.836902643890426,-14.235241581189445,14,lower,1405.9273490033509
800,15,1,7.374424854202516,14.748849708405032,14.221126296191477,14,raise,1414.3209451168034
800,45,1,21.99286728064999,43.98573456129998,42.62125592594501,14,raise,1422.7145412302564
800,90,1,43.600639777552715,87.20127955510543,85.11696877925377,14,raise,1435.3049354004356
800,135,1,64.83406106177063,129.66812212354125,127.48860479306057,14,raise,1447.8953295706149
800,180,1,-92.05295702800686,184.10591405601372,-171.7708694327362,14,lower,1359.76257037936
