gap_deg,e,seed,cap,burn_action,n_burn,decisions,sim_steps,cause,success,a0_km,da_final_km,min_d_km,relv_at_min,dwell_decisions,probe
10,0.0,0,2000,13,1,35,2000,safety_cap,0,421.28915786743164,-1.7727375030517578,nan,nan,0,oneburn_warp60
10,0.0,1,2000,13,1,35,2000,safety_cap,0,300.00391006469727,-1.725459098815918,nan,nan,0,oneburn_warp60
10,0.0,2,2000,13,1,35,2000,safety_cap,0,300.00782012939453,-1.725459098815918,nan,nan,0,oneburn_warp60
10,0.0,3,2000,13,1,35,2000,safety_cap,0,300.0117301940918,-1.725459098815918,nan,nan,0,oneburn_warp60
10,0.0,4,2000,13,1,35,2000,safety_cap,0,300.015664100647,-1.7254829406738281,nan,nan,0,oneburn_warp60
10,0.0,5,2000,13,1,35,2000,safety_cap,0,300.01957416534424,-1.7254829406738281,nan,nan,0,oneburn_warp60
10,0.0,6,2000,13,1,35,2000,safety_cap,0,300.0234842300415,-1.7254829406738281,nan,nan,0,oneburn_warp60
10,0.0,7,2000,13,1,35,2000,safety_cap,0,300.02739429473877,-1.7254829406738281,nan,nan,0,oneburn_warp60
10,0.0,0,3000,13,1,51,3000,safety_cap,0,421.28915786743164,-1.7727375030517578,nan,nan,0,oneburn_warp60
10,0.0,1,3000,13,1,51,3000,safety_cap,0,300.00391006469727,-1.725459098815918,nan,nan,0,oneburn_warp60
10,0.0,2,3000,13,1,51,3000,safety_cap,0,300.00782012939453,-1.725459098815918,nan,nan,0,oneburn_warp60
10,0.0,3,3000,13,1,51,3000,safety_cap,0,300.0117301940918,-1.725459098815918,nan,nan,0,oneburn_warp60
10,0.0,4,3000,13,1,51,3000,safety_cap,0,300.015664100647,-1.7254829406738281,nan,nan,0,oneburn_warp60
10,0.0,5,3000,13,1,51,3000,safety_cap,0,300.01957416534424,-1.7254829406738281,nan,nan,0,oneburn_warp60
10,0.0,6,3000,13,1,51,3000,safety_cap,0,300.0234842300415,-1.7254829406738281,nan,nan,0,oneburn_warp60
10,0.0,7,3000,13,1,51,3000,safety_cap,0,300.02739429473877,-1.7254829406738281,nan,nan,0,oneburn_warp60
10,0.0,0,2000,15,1,35,2000,safety_cap,0,421.28915786743164,-3.544330596923828,nan,nan,0,oneburn_warp60
