action,da_km,dlam_per_dec_deg,dphi_per_dec,dphi_per_km,entry_cost_133km,expert_success,frac_saturated,frac_saturated_first20,max,mean,mean_abs_dlam_deg,mean_phi,median,n,p90,probe,ratio,ratio_to_ent_coef,rung,tau
coast,18.6,0.014770727085992811,8.205959492218229e-05,,,,,,,,,,,,,C1,,0.008205959492218228,,1
warp5,18.6,0.07385363542996405,0.0004102979746109114,,,,,,,,,,,,,C1,,0.04102979746109114,,5
warp30,18.6,0.44312181257978434,0.0024617878476654686,,,,,,,,,,,,,C1,,0.24617878476654687,,30
warp60,18.6,0.8862436251595687,0.004923575695330937,,,,,,,,,,,,,C1,,0.49235756953309373,,60
coast,133.0,0.10561863991597009,0.0005867702217553894,,,,,,,,,,,,,C1,,0.05867702217553893,,1
warp5,133.0,0.5280931995798506,0.0029338511087769474,,,,,,,,,,,,,C1,,0.29338511087769475,,5
warp30,133.0,3.1685591974791025,0.017603106652661682,,,,,,,,,,,,,C1,,1.7603106652661682,,30
warp60,133.0,6.337118394958205,0.035206213305323364,,,,,,,,,,,,,C1,,3.5206213305323364,,60
coast,340.0,0.27000253813105135,0.001500014100728063,,,,,,,,,,,,,C1,,0.15000141007280632,,1
warp5,340.0,1.350012690655257,0.007500070503640316,,,,,,,,,,,,,C1,,0.7500070503640316,,5
warp30,340.0,8.10007614393154,0.04500042302184189,,,,,,,,,,,,,C1,,4.500042302184188,,30
warp60,340.0,16.20015228786308,0.09000084604368377,,,,,,,,,,,,,C1,,9.000084604368377,,60
,,,,,,,0.0,,0.0,0.0,15.007024030890223,-0.0833723557271679,0.0,1500,0.0,C2,,,L0_e0_gap30,
,,,,,,,0.0,,0.0,0.0,90.0421443197128,-0.5002341351095156,0.0,1500,0.0,C2,,,L1_e0_gap180,
,,,,,,,0.018,,371.54505797653553,176.65399188115063,91.17740908570268,-0.712262087493183,177.0892899793223,1500,255.8965846984057,C2,,,L2_headline,
,,,,,,,0.8073333333333333,,1011.0366987221535,444.50782718925876,90.46868057678086,-0.835097825312628,442.29452888839023,1500,656.268692900274,C2,,,L3_e015_wide,
,,,,,,0.0,0.0,0.0,,,,,,8,,C3,,,L2_headline,
,,,,,,0.0,0.38774392053501644,0.43880653568194,,,,,,8,,C3,,,L3_e015_wide,
,,,,0.0006288377741756285,0.08363542396535859,,,,,,,,,,,C4,11.956656074514497,,,
