cfg,mode,requested_deg,mean_dlam_deg,max_err_deg,mean_abs_domega_deg
e=0    soi=1 (a_s==a_t),0,30.0,-30.00000002460519,3.2821229041246625e-06,0.0
e=0    soi=1 (a_s==a_t),0,90.0,-90.0,5.684341886080802e-14,0.0
e=0    soi=1 (a_s==a_t),0,180.0,-151.2,0.0,0.0
e=0    soi=1 (a_s==a_t),1,30.0,-30.00000002460519,3.2821229041246625e-06,0.0
e=0    soi=1 (a_s==a_t),1,90.0,-90.0,5.684341886080802e-14,0.0
e=0    soi=1 (a_s==a_t),1,180.0,-151.2,0.0,0.0
e=0    soi=0 (a_s!=a_t),0,30.0,-30.000000016196292,2.5841118613811886e-06,0.0
e=0    soi=0 (a_s!=a_t),0,90.0,-90.0,2.842170943040401e-14,0.0
e=0    soi=0 (a_s!=a_t),0,180.0,-153.0,0.0,0.0
e=0    soi=0 (a_s!=a_t),1,30.0,-30.000000016196292,2.5841118613811886e-06,0.0
e=0    soi=0 (a_s!=a_t),1,90.0,-90.0,2.842170943040401e-14,0.0
e=0    soi=0 (a_s!=a_t),1,180.0,-153.0,0.0,0.0
e=0.05 soi=1,0,30.0,-29.999999999009884,3.6811704333672424e-06,0.0
e=0.05 soi=1,0,90.0,-89.99999991837875,3.6287651994371117e-06,0.0
e=0.05 soi=1,0,180.0,5.4000000816212514,3.628765227858821e-06,0.0
e=0.05 soi=1,1,30.0,-29.999999999009884,3.6811704333672424e-06,0.0
e=0.05 soi=1,1,90.0,-89.99999991837875,3.6287651994371117e-06,0.0
e=0.05 soi=1,1,180.0,5.4000000816212514,3.628765227858821e-06,0.0
e=0.05 soi=0 (headline),0,30.0,10.892202789671021,178.98420704549207,94.42807667115827
e=0.05 soi=0 (headline),0,90.0,4.892202789580156,178.98420679470027,94.42807667115827
e=0.05 soi=0 (headline),0,180.0,-7.707797210419844,178.98420679470027,94.42807667115827
e=0.05 soi=0 (headline),1,30.0,-30.000000175952756,2.7265953512767283e-06,94.42807667115827
e=0.05 soi=0 (headline),1,90.0,-90.00000020333111,3.995827412950348e-06,94.42807667115827
e=0.05 soi=0 (headline),1,180.0,28.79999979666889,3.995827455582912e-06,94.42807667115827
e=0.20 soi=0 valid_init_only=1,0,30.0,-3.4428137006383013,179.86330954902712,95.01912371522009
e=0.20 soi=0 valid_init_only=1,0,90.0,3.157186258955318,179.8633096033817,95.01912371522009
