rung,policy,seed,decisions,sim_steps,cause,shaping_sum_nonterminal,telescope_resid,clamp_recon_err,r_env_terminal,phi_T_prev,phi_0,undisc_cap-10_clampshipped,disc_cap-10_clampshipped,undisc_cap-10_clampnone,disc_cap-10_clampnone,undisc_cap-10_clampall,disc_cap-10_clampall,undisc_cap0_clampshipped,disc_cap0_clampshipped,undisc_cap0_clampnone,disc_cap0_clampnone,undisc_cap0_clampall,disc_cap0_clampall
L0_e0_gap30,coast_forever,0,3000,3000,safety_cap,0.0,3.1625298421711356e-09,0.0,-10.0,-0.038953720141608576,-0.038953716979078734,-10.0,-2.96086875074658e-06,-10.0,-2.96086875074658e-06,-9.961046279858392,-2.949335065477307e-06,0.0,2.8772867779274082e-18,0.0,2.8772867779274082e-18,0.038953720141608576,1.1533685272150142e-08
L0_e0_gap30,coast_forever,1,3000,3000,safety_cap,-1.3877787807814457e-16,5.446455772495362e-09,0.0,-10.0,-0.08520178354048806,-0.08520177809403215,-10.0,-2.9608687505986196e-06,-10.0,-2.9608687505986196e-06,-9.914798216459513,-2.9356416207593046e-06,-1.3877787807814457e-16,1.5083788950852737e-16,-1.3877787807814457e-16,1.5083788950852737e-16,0.08520178354048792,2.5227129990152947e-08
L0_e0_gap30,coast_forever,2,3000,3000,safety_cap,0.0,8.981396049621837e-09,0.0,-10.0,-0.0037368736532878014,-0.003736882634683851,-10.0,-2.96086875077243e-06,-10.0,-2.96086875077243e-06,-9.996263126346712,-2.9597623115298778e-06,0.0,-2.2972417564150378e-17,0.0,-2.2972417564150378e-17,0.0037368736532878014,1.1064392195794636e-09
L0_e0_gap30,coast_forever,3,3000,3000,safety_cap,0.0,6.7478496817985345e-09,0.0,-10.0,-0.07772801138928606,-0.07772800464143638,-10.0,-2.9608687510110315e-06,-10.0,-2.9608687510110315e-06,-9.922271988610714,-2.9378545070129877e-06,0.0,-2.615740292687198e-16,0.0,-2.615740292687198e-16,0.07772801138928606,2.3014243736469473e-08
L0_e0_gap30,coast_forever,4,3000,3000,safety_cap,-9.71445146547012e-16,2.991602188195941e-09,0.0,-10.0,-0.1591929056248033,-0.15919290263320013,-10.0,-2.9608687512893767e-06,-10.0,-2.9608687512893767e-06,-9.840807094375197,-2.913733821328828e-06,-9.71445146547012e-16,-5.399193409929806e-16,-9.71445146547012e-16,-5.399193409929806e-16,0.15919290562480232,4.7134929420629414e-08
L0_e0_gap30,coast_forever,5,3000,3000,safety_cap,0.0,2.98918537144921e-09,0.0,-10.0,-0.09267553167062066,-0.09267552868143529,-10.0,-2.9608687507243413e-06,-10.0,-2.9608687507243413e-06,-9.90732446832938,-2.933428742156078e-06,0.0,2.5116411909668022e-17,0.0,2.5116411909668022e-17,0.09267553167062066,2.744000859337965e-08
L0_e0_gap30,coast_forever,6,3000,3000,safety_cap,0.0,1.8617159133760275e-09,0.0,-10.0,-0.011210644792055635,-0.011210642930339722,-10.0,-2.9608687507524162e-06,-10.0,-2.9608687507524162e-06,-9.988789355207944,-2.9575494259683608e-06,0.0,-2.9587865200298313e-18,0.0,-2.9587865200298313e-18,0.011210644792055635,3.3193247810961813e-09
L0_e0_gap30,coast_forever,7,3000,3000,safety_cap,-2.7755575615628914e-16,7.511262389847673e-09,0.0,-10.0,-0.07025424606601346,-0.07025425357727558,-10.0,-2.9608687508282185e-06,-10.0,-2.9608687508282185e-06,-9.929745753933986,-2.9400673906497858e-06,-2.7755575615628914e-16,-7.876075578237579e-17,-2.7755575615628914e-16,-7.876075578237579e-17,0.07025424606601319,2.080136009967147e-08
L0_e0_gap30,coast_forever,8,3000,3000,safety_cap,-5.828670879282072e-16,1.0807955502789568e-08,0.0,-10.0,-0.15171914845350962,-0.15171913764555353,-10.0,-2.9608687509880134e-06,-10.0,-2.9608687509880134e-06,-9.848280851546491,-2.915946702433382e-06,-5.828670879282072e-16,-2.385556148680285e-16,-5.828670879282072e-16,-2.385556148680285e-16,0.15171914845350903,4.4922048316075836e-08
L0_e0_gap30,coast_forever,9,3000,3000,safety_cap,0.0,5.6542438092721525e-09,0.0,-10.0,-0.10014929963088111,-0.1001492939766373,-10.0,-2.9608687509107195e-06,-10.0,-2.9608687509107195e-06,-9.899850700369118,-2.931215857742067e-06,0.0,-1.6126184261328875e-16,0.0,-1.6126184261328875e-16,0.10014929963088111,2.965289300739016e-08
L0_e0_gap30,coast_forever,10,3000,3000,safety_cap,-2.8449465006019636e-16,6.304212776808704e-10,0.0,-10.0,-0.018684406766577757,-0.018684406136156195,-10.0,-2.9608687508831333e-06,-10.0,-2.9608687508831333e-06,-9.981315593233422,-2.955336543270988e-06,-2.8449465006019636e-16,-1.3367563129586182e-16,-2.8449465006019636e-16,-1.3367563129586182e-16,0.018684406766577472,5.532207478469548e-09
L0_e0_gap30,coast_forever,11,3000,3000,safety_cap,-1.3877787807814457e-16,7.196158058331292e-09,0.0,-10.0,-0.06278049076947938,-0.06278048357332118,-10.0,-2.9608687508631023e-06,-10.0,-2.9608687508631023e-06,-9.93721950923052,-2.9422802715354954e-06,-1.3877787807814457e-16,-1.136446518009448e-16,-1.3877787807814457e-16,-1.136446518009448e-16,0.06278049076947924,1.8588479213961973e-08
L0_e0_gap30,warp5_forever,0,600,3000,safety_cap,0.0,4.513105375525406e-10,0.0,-10.0,-0.0389537165277682,-0.038953716979078734,-10.0,-0.4966213277390804,-10.0,-0.4966213277390804,-9.961046283472232,-0.4946868030968412,0.0,2.8353153506651516e-18,0.0,2.8353153506651516e-18,0.0389537165277682,0.001934524642239203
L0_e0_gap30,warp5_forever,1,600,3000,safety_cap,1.3877787807814457e-16,2.2333104393590375e-09,0.0,-10.0,-0.08520177586072157,-0.08520177809403215,-10.0,-0.49662132773908024,-10.0,-0.49662132773908024,-9.914798224139279,-0.49239002583371233,1.3877787807814457e-16,1.6400525517951276e-16,1.3877787807814457e-16,1.6400525517951276e-16,0.08520177586072171,0.004231301905368071
L0_e0_gap30,warp5_forever,2,600,3000,safety_cap,0.0,6.6039541838508464e-09,0.0,-10.0,-0.003736876030729667,-0.003736882634683851,-10.0,-0.4966213277390804,-10.0,-0.4966213277390804,-9.996263123969271,-0.4964357465054827,0.0,-1.3801920135266375e-17,0.0,-1.3801920135266375e-17,0.003736876030729667,0.0001855812335977174
L0_e0_gap30,warp5_forever,3,600,3000,safety_cap,0.0,5.179523254739138e-09,0.0,-10.0,-0.07772800982095963,-0.07772800464143638,-10.0,-0.4966213277390807,-10.0,-0.4966213277390807,-9.92227199017904,-0.4927611889951005,0.0,-2.5292424737642893e-16,0.0,-2.5292424737642893e-16,0.07772800982095963,0.0038601387439798724
L0_e0_gap30,warp5_forever,4,600,3000,safety_cap,-4.163336342344337e-16,1.1955628292925624e-08,0.0,-10.0,-0.15919291458882884,-0.15919290263320013,-10.000000000000004,-0.4966213277390809,-10.000000000000004,-0.4966213277390809,-9.840807085411175,-0.48871546807810506,-4.163336342344337e-16,-4.839993395856609e-16,-4.163336342344337e-16,-4.839993395856609e-16,0.15919291458882842,0.007905859660975336
L0_e0_gap30,warp5_forever,5,600,3000,safety_cap,0.0,1.6962565185796308e-08,0.0,-10.0,-0.09267554564400048,-0.09267552868143529,-10.0,-0.4966213277390804,-10.0,-0.4966213277390804,-9.907324454355999,-0.49201886248641363,0.0,1.951528344754174e-17,0.0,1.951528344754174e-17,0.09267554564400048,0.004602465252666745
L0_e0_gap30,warp5_forever,6,600,3000,safety_cap,0.0,5.254790593975378e-09,0.0,-10.0,-0.011210637675549128,-0.011210642930339722,-10.0,-0.4966213277390804,-10.0,-0.4966213277390804,-9.98878936232445,-0.49606458356235705,0.0,-2.1305425529447644e-18,0.0,-2.1305425529447644e-18,0.011210637675549128,0.0005567441767232944
L0_e0_gap30,warp5_forever,7,600,3000,safety_cap,-1.3877787807814457e-16,3.984207200269374e-09,0.0,-10.0,-0.07025424959306852,-0.07025425357727558,-10.0,-0.49662132773908046,-10.0,-0.49662132773908046,-9.929745750406932,-0.4931323518678582,-1.3877787807814457e-16,-7.973909346256048e-17,-1.3877787807814457e-16,-7.973909346256048e-17,0.07025424959306838,0.0034889758712221635
L0_e0_gap30,warp5_forever,8,600,3000,safety_cap,-5.828670879282072e-16,3.1327224980781665e-09,0.0,-10.0,-0.1517191407782766,-0.15171913764555353,-10.0,-0.4966213277390806,-10.0,-0.4966213277390806,-9.848280859221724,-0.48908663162540655,-5.828670879282072e-16,-1.4806373125371026e-16,-5.828670879282072e-16,-1.4806373125371026e-16,0.15171914077827603,0.00753469611367387
L0_e0_gap30,warp5_forever,9,600,3000,safety_cap,0.0,5.3754284773388505e-09,0.0,-10.0,-0.10014928860120882,-0.1001492939766373,-10.0,-0.4966213277390806,-10.0,-0.4966213277390806,-9.899850711398791,-0.4916477004713549,0.0,-1.4381755225725846e-16,0.0,-1.4381755225725846e-16,0.10014928860120882,0.004973627267725524
L0_e0_gap30,warp5_forever,10,600,3000,safety_cap,-2.8449465006019636e-16,1.0595106146593647e-09,0.0,-10.0,-0.018684407195667094,-0.018684406136156195,-10.0,-0.4966213277390807,-10.0,-0.4966213277390807,-9.981315592804332,-0.4956934202281277,-2.8449465006019636e-16,-2.9105703777874556e-16,-2.8449465006019636e-16,-2.9105703777874556e-16,0.01868440719566681,0.0009279075109526909
L0_e0_gap30,warp5_forever,11,600,3000,safety_cap,-1.3877787807814457e-16,1.6918208639582488e-09,0.0,-10.0,-0.06278048526514218,-0.06278048357332118,-10.0,-0.4966213277390805,-10.0,-0.4966213277390805,-9.937219514734858,-0.49350351494423267,-1.3877787807814457e-16,-1.220412369148627e-16,-1.3877787807814457e-16,-1.220412369148627e-16,0.06278048526514204,0.0031178127948477464
L0_e0_gap30,warp30_forever,0,100,3000,safety_cap,0.0,1.1469755908932733e-09,0.0,-10.0,-0.03895371583210314,-0.038953716979078734,-10.0,-6.088145090359074,-10.0,-6.088145090359074,-9.961046284167898,-6.064429502979628,0.0,6.113464185505387e-19,0.0,6.113464185505387e-19,0.03895371583210314,0.023715587379446127
L0_e0_gap30,warp30_forever,1,100,3000,safety_cap,4.163336342344337e-16,3.585797644922728e-09,0.0,-10.0,-0.08520177450823409,-0.08520177809403215,-10.0,-6.088145090359074,-10.0,-6.088145090359074,-9.914798225491765,-6.036273013842854,4.163336342344337e-16,3.1372510738874844e-16,4.163336342344337e-16,3.1372510738874844e-16,0.0852017745082345,0.05187207651621894
