cause,decisions_to_arrive,delay,disc,disc_shaping,gap_deg,max_task_obs_delta,phi_valley,predicted_valley,probe,route,sim_steps,success,undisc_shaping
success,,0,1.3720687525905124,,,0.0,,,G,,2732,1,
success,,300,0.3900562287814447,,,0.6390314698219299,,,G,,2733,1,
success,,600,0.11606724787421857,,,0.7219370603561401,,,G,,2772,1,
success,,900,0.03252522102049539,,,0.0829056054353714,,,G,,2794,1,
success,,1200,0.007611556951627624,,,0.5561258792877197,,,G,,2863,1,
success,,1500,0.0012775311298366594,,,0.8048426508903503,,,G,,2914,1,
success,,1800,0.0004212503872767907,,,0.1658112108707428,,,G,,2985,1,
,7,,,0.03114626664289316,30.0,,-0.12059685876300269,0.0,H_route,direct,,,0.03399631753563881
,50,,,-0.08578567283609091,30.0,,-0.9406543192534568,-0.8333333333333334,H_route,longway,,,0.025491869542747736
,16,,,0.35345831807894146,90.0,,-0.12059686759602073,0.0,H_route,direct,,,0.3744024820625782
,42,,,0.25822209155525644,90.0,,-0.6218002810383672,-0.5,H_route,longway,,,0.366035558283329
,24,,,0.640762354712963,150.0,,-0.12059686053125795,0.0,H_route,direct,,,0.6910173520445824
,33,,,0.613752621109326,150.0,,-0.2813597801349961,-0.16666666666666663,H_route,longway,,,0.701845807954669
