cap,gap_deg,action,n_burn,dv,n_seeds,successes,rate
2000,0,4,1,5,8,8,1.0
2000,0,4,2,10,8,8,1.0
2000,0,5,1,10,8,8,1.0
2000,0,5,2,20,8,8,1.0
2000,0,5,3,30,8,8,1.0
2000,0,6,1,25,8,8,1.0
2000,0,6,2,50,8,8,1.0
2000,0,6,3,75,8,8,1.0
2000,0,6,4,100,8,8,1.0
2000,0,6,6,150,8,8,1.0
2000,0,13,1,1,8,8,1.0
2000,0,15,1,2,8,8,1.0
2000,0,15,2,4,8,8,1.0
2000,10,4,1,5,8,8,1.0
2000,10,4,2,10,8,8,1.0
2000,10,5,1,10,8,8,1.0
2000,10,5,2,20,8,0,0.0
2000,10,5,3,30,8,0,0.0
2000,10,6,1,25,8,0,0.0
2000,10,6,2,50,8,0,0.0
2000,10,6,3,75,8,0,0.0
2000,10,6,4,100,8,0,0.0
2000,10,6,6,150,8,0,0.0
2000,10,13,1,1,8,0,0.0
2000,10,15,1,2,8,0,0.0
2000,10,15,2,4,8,8,1.0
2000,20,4,1,5,8,0,0.0
2000,20,4,2,10,8,1,0.125
2000,20,5,1,10,8,1,0.125
2000,20,5,2,20,8,0,0.0
2000,20,5,3,30,8,0,0.0
2000,20,6,1,25,8,0,0.0
2000,20,6,2,50,8,0,0.0
2000,20,6,3,75,8,0,0.0
2000,20,6,4,100,8,0,0.0
2000,20,6,6,150,8,0,0.0
2000,20,13,1,1,8,0,0.0
2000,20,15,1,2,8,0,0.0
2000,20,15,2,4,8,0,0.0
2000,30,4,1,5,8,0,0.0
2000,30,4,2,10,8,0,0.0
2000,30,5,1,10,8,0,0.0
2000,30,5,2,20,8,0,0.0
2000,30,5,3,30,8,0,0.0
2000,30,6,1,25,8,0,0.0
2000,30,6,2,50,8,0,0.0
2000,30,6,3,75,8,0,0.0
2000,30,6,4,100,8,0,0.0
2000,30,6,6,150,8,0,0.0
2000,30,13,1,1,8,0,0.0
2000,30,15,1,2,8,0,0.0
2000,30,15,2,4,8,0,0.0
2000,40,4,1,5,8,0,0.0
2000,40,4,2,10,8,0,0.0
2000,40,5,1,10,8,0,0.0
2000,40,5,2,20,8,0,0.0
2000,40,5,3,30,8,0,0.0
2000,40,6,1,25,8,0,0.0
2000,40,6,2,50,8,0,0.0
2000,40,6,3,75,8,0,0.0
2000,40,6,4,100,8,0,0.0
2000,40,6,6,150,8,0,0.0
2000,40,13,1,1,8,0,0.0
2000,40,15,1,2,8,0,0.0
2000,40,15,2,4,8,0,0.0
2000,50,4,1,5,8,0,0.0
2000,50,4,2,10,8,0,0.0
2000,50,5,1,10,8,0,0.0
2000,50,5,2,20,8,7,0.875
2000,50,5,3,30,8,1,0.125
2000,50,6,1,25,8,0,0.0
2000,50,6,2,50,8,0,0.0
2000,50,6,3,75,8,0,0.0
2000,50,6,4,100,8,0,0.0
2000,50,6,6,150,8,0,0.0
2000,50,13,1,1,8,0,0.0
2000,50,15,1,2,8,0,0.0
2000,50,15,2,4,8,0,0.0
2000,60,4,1,5,8,0,0.0
2000,60,4,2,10,8,0,0.0
2000,60,5,1,10,8,0,0.0
2000,60,5,2,20,8,0,0.0
2000,60,5,3,30,8,0,0.0
2000,60,6,1,25,8,0,0.0
2000,60,6,2,50,8,0,0.0
2000,60,6,3,75,8,0,0.0
2000,60,6,4,100,8,0,0.0
2000,60,6,6,150,8,0,0.0
2000,60,13,1,1,8,0,0.0
2000,60,15,1,2,8,0,0.0
2000,60,15,2,4,8,0,0.0
2000,70,4,1,5,8,0,0.0
2000,70,4,2,10,8,0,0.0
2000,70,5,1,10,8,0,0.0
2000,70,5,2,20,8,0,0.0
2000,70,5,3,30,8,0,0.0
2000,70,6,1,25,8,1,0.125
2000,70,6,2,50,8,0,0.0
2000,70,6,3,75,8,0,0.0
2000,70,6,4,100,8,0,0.0
2000,70,6,6,150,8,0,0.0
2000,70,13,1,1,8,0,0.0
2000,70,15,1,2,8,0,0.0
2000,70,15,2,4,8,0,0.0
2000,80,4,1,5,8,0,0.0
2000,80,4,2,10,8,0,0.0
2000,80,5,1,10,8,0,0.0
2000,80,5,2,20,8,0,0.0
2000,80,5,3,30,8,0,0.0
2000,80,6,1,25,8,0,0.0
2000,80,6,2,50,8,0,0.0
2000,80,6,3,75,8,0,0.0
2000,80,6,4,100,8,0,0.0
2000,80,6,6,150,8,0,0.0
2000,80,13,1,1,8,0,0.0
2000,80,15,1,2,8,0,0.0
2000,80,15,2,4,8,0,0.0
2000,90,4,1,5,8,0,0.0
2000,90,4,2,10,8,0,0.0
2000,90,5,1,10,8,0,0.0
2000,90,5,2,20,8,0,0.0
2000,90,5,3,30,8,0,0.0
2000,90,6,1,25,8,0,0.0
2000,90,6,2,50,8,1,0.125
2000,90,6,3,75,8,0,0.0
2000,90,6,4,100,8,0,0.0
2000,90,6,6,150,8,0,0.0
2000,90,13,1,1,8,0,0.0
2000,90,15,1,2,8,0,0.0
2000,90,15,2,4,8,0,0.0
