condition,obs_source,sigma_rho_m,sigma_beta_rad,episodes,gave_up,successes,success_rate,mean_ep_len,pos_rmse_mean_m,pos_rmse_median_m,pos_rmse_p95_m,vel_rmse_mean_ms,vel_rmse_median_ms,pos_rmse_settled_m,vel_rmse_settled_ms,pos_rmse_settled_median_m,vel_rmse_settled_median_ms,term_pos_err_mean_m,term_vel_err_mean_ms,nees_in_bounds,nis_in_bounds,hyperbolic_est_steps,frac_episodes_diverged,cause_success,cause_collision,cause_escape,cause_safety_cap,cause_stranded,cause_hyperbolic
perdec/truth,truth,50.0,1.0e-03,200,0,200,1.0000,752.4,3330542102.19,11831.47,33557347.12,938068.4293,56.0793,5093348272.94,1436539.0672,7743.33,8.5658,15049811078.65,3996375.5195,0.1935,0.3102,0,0.0000,200,0,0,0,0,0
perdec/recon,recon,50.0,1.0e-03,200,0,200,1.0000,752.4,3330542102.19,11831.47,33557347.12,938068.4293,56.0793,5093348272.94,1436539.0672,7743.33,8.5658,15049811078.65,3996375.5195,0.1935,0.3102,0,0.0000,200,0,0,0,0,0
perdec/ekf_1x,ekf,50.0,1.0e-03,200,0,101,0.5050,580.3,20362637.59,76828.06,10217405.50,448319.3432,97.2159,22196209.29,482918.5640,79216.80,83.6121,3686189.69,3501.9057,0.1344,0.2269,243,0.1500,101,4,0,0,95,0
perdec/ekf_3x,ekf,150.0,3.0e-03,200,0,95,0.4750,619.6,7200459.33,666933.50,15869348.48,11548.8277,797.7124,8512281.86,13310.0201,905203.08,979.5932,3738366.80,9300.7473,0.1119,0.2025,262,0.1450,95,5,0,1,99,0
perdec/ekf_10x,ekf,500.0,1.0e-02,200,0,58,0.2900,603.7,3010677.44,1398194.63,10324487.08,4957.0607,1660.8429,3553921.45,5714.3531,1629851.15,2051.7282,4182933.09,4386.9912,0.0703,0.1722,211,0.1950,58,9,0,2,131,0
perdec/ekf_30x,ekf,1500.0,3.0e-02,200,0,27,0.1350,472.2,4321529.20,2117809.17,13188170.78,8459.0057,2271.8645,4989185.96,9636.9247,2630943.84,2813.2561,5186676.83,9061.9061,0.0461,0.1460,485,0.3100,27,8,0,1,164,0
perdec/ekf_100x,ekf,5000.0,1.0e-01,200,0,12,0.0600,358.9,36486316464.92,3143620.57,21900353.95,48493.7705,3829.9074,42381519724.10,57053.4175,3874939.20,4731.1487,6916776.27,7715.6694,0.0346,0.1636,616,0.4750,12,24,0,1,163,0
perdec/ekf_300x,ekf,15000.0,3.0e-01,200,0,3,0.0150,357.0,3588487102.05,5818730.05,26855199.59,479303.6259,6617.0851,3963138711.90,515414.0683,6116579.50,7270.3847,179460450.50,14144.4319,0.0174,0.1738,880,0.5450,3,26,0,3,168,0
nav300/truth,truth,50.0,1.0e-03,200,0,200,1.0000,752.4,1925.39,1458.95,4650.68,30.5434,29.4837,16.39,0.0159,14.23,0.0134,12.36,0.0168,0.9043,0.9395,0,0.0000,200,0,0,0,0,0
nav300/recon,recon,50.0,1.0e-03,200,0,200,1.0000,752.4,1925.39,1458.95,4650.68,30.5434,29.4837,16.39,0.0159,14.23,0.0134,12.36,0.0168,0.9043,0.9395,0,0.0000,200,0,0,0,0,0
