da_km,phi_orbit,sigma2,phase_reward_scale,Phi_orbit_only,rel_vel_implied_ms,drift_deg_per_hr,note
0,0.0,0.9999546021312976,0.9999546021312976,-0.0,0.0,0.0,gate OPEN
5,0.5,0.9994472213630764,0.9994472213630764,-0.005,2.8328897682709395,0.25865598555040603,gate OPEN
10,1.0,0.9933071490757153,0.9933071490757153,-0.01,5.665779536541879,0.5168352562108053,gate OPEN
15,1.5,0.9241418199787566,0.9241418199787566,-0.015,8.49866930481282,0.7745390411254339,gate OPEN
20,2.0,0.5,0.5,-0.02,11.331559073083758,1.0317685653670257,gate closed
25,2.5,0.07585818002124355,0.07585818002124355,-0.025,14.1644488413547,1.2885250499530025,gate closed
29,2.9,0.010986942630593188,0.010986942630593188,-0.029,16.43076065597145,1.493590467014726,gate closed
30,3.0,0.0066928509242848554,0.0066928509242848554,-0.03,16.99733860962564,1.544809711862069,gate closed
40,4.0,4.5397868702434395e-05,4.5397868702434395e-05,-0.04,22.663118146167516,2.0559684154678406,gate DEAD (<1e-3)
50,5.0,3.059022269256247e-07,3.059022269256247e-07,-0.05,28.3288976827094,2.5652543318559,gate DEAD (<1e-3)
88,8.8,1.71390843154201e-15,1.71390843154201e-15,-0.088,49.85885992156854,4.483629346149478,gate DEAD (<1e-3)
100,10.0,4.248354255291589e-18,4.248354255291589e-18,-0.1,56.6577953654188,5.083925631596194,gate DEAD (<1e-3)
200,20.0,8.194012623990515e-40,8.194012623990515e-40,-0.2,113.3155907308376,9.986184189540499,gate DEAD (<1e-3)
340,34.0,3.257488532207521e-70,3.257488532207521e-70,-0.34,192.63650424242388,16.561097896819557,gate DEAD (<1e-3)
500,50.0,5.8792826982452694e-105,5.8792826982452694e-105,-0.5,283.28897682709396,23.68979944008253,gate DEAD (<1e-3)
