da_km,gamma,warpset,N_decisions,gamma_pow_N,Phi_magnitude,drift_entry_net_cost,drift_entry_cost_pct_of_terminal,coast_leak_over_drift,leak_pct_of_terminal
100,0.995,coast-only (tau=1),2130,2.3076077475960923e-05,0.1,-0.09999769239225241,0.9999769239225241,1.062000000000001,10.620000000000008
100,0.995,legacy D10 (warp-5min),434,0.11355781921006071,0.1,-0.08864421807899393,0.8864421807899394,1.0519279923203135,10.519279923203134
100,0.995,D16 (warp 5/30min),84,0.6563549768288431,0.1,-0.034364502317115686,0.34364502317115686,1.00112793493519,10.0112793493519
100,0.995,D16 (warp 5/30/60min),49,0.7822236754458712,0.1,-0.02177763245541288,0.2177763245541288,0.9500777044606611,9.500777044606611
100,0.997,coast-only (tau=1),2130,0.001662215025706101,0.1,-0.0998337784974294,0.998337784974294,0.6372000000000007,6.372000000000006
100,0.997,legacy D10 (warp-5min),434,0.2714555386737236,0.1,-0.07285444613262763,0.7285444613262764,0.6336864577978274,6.3368645779782735
100,0.997,D16 (warp 5/30min),84,0.776950406379376,0.1,-0.022304959362062407,0.2230495936206241,0.6150692491264914,6.150692491264914
100,0.997,D16 (warp 5/30/60min),49,0.8631032605924441,0.1,-0.013689673940755587,0.13689673940755587,0.5938625576000112,5.938625576000112
100,0.999,coast-only (tau=1),2130,0.11871071515675106,0.1,-0.08812892848432491,0.881289284843249,0.2124000000000002,2.124000000000002
100,0.999,legacy D10 (warp-5min),434,0.6477715799982753,0.1,-0.03522284200017247,0.3522284200017247,0.212075424787542,2.12075424787542
100,0.999,D16 (warp 5/30min),84,0.9193926150309794,0.1,-0.008060738496902064,0.08060738496902065,0.20996944292510422,2.099694429251042
100,0.999,D16 (warp 5/30/60min),49,0.9521577859830144,0.1,-0.004784221401698563,0.047842214016985636,0.20633517087801517,2.063351708780152
200,0.995,coast-only (tau=1),1091,0.00421678145850323,0.2,-0.19915664370829936,1.9915664370829937,1.0810000000000008,10.810000000000008
200,0.995,legacy D10 (warp-5min),227,0.32050833588933564,0.2,-0.13589833282213287,1.3589833282213288,1.069253865135001,10.69253865135001
200,0.995,D16 (warp 5/30min),47,0.7901049725470278,0.2,-0.04197900549059444,0.4197900549059444,1.0235748756660372,10.235748756660373
200,0.995,D16 (warp 5/30/60min),29,0.8647077305675337,0.2,-0.027058453886493264,0.27058453886493267,0.9818315314036298,9.818315314036298
200,0.997,coast-only (tau=1),1091,0.037706629878404375,0.2,-0.19245867402431915,1.9245867402431915,0.6486000000000006,6.486000000000006
200,0.997,legacy D10 (warp-5min),227,0.5055928652970135,0.2,-0.0988814269405973,0.9888142694059731,0.6441236465144975,6.441236465144975
200,0.997,D16 (warp 5/30min),47,0.8683052775100065,0.2,-0.026338944497998697,0.26338944497998695,0.627639013777307,6.27639013777307
200,0.997,D16 (warp 5/30/60min),29,0.916557237316439,0.2,-0.016688552536712198,0.16688552536712198,0.6102211587117194,6.1022115871171945
200,0.999,coast-only (tau=1),1091,0.3356971502737666,0.2,-0.13286056994524667,1.3286056994524666,0.21620000000000023,2.162000000000002
200,0.999,legacy D10 (warp-5min),227,0.7968302765754722,0.2,-0.040633944684905554,0.40633944684905554,0.21556843178404267,2.155684317840427
200,0.999,D16 (warp 5/30min),47,0.954064961841736,0.2,-0.00918700763165281,0.0918700763165281,0.2138383644783537,2.138383644783537
200,0.999,D16 (warp 5/30/60min),29,0.9714023696327184,0.2,-0.0057195260734563165,0.05719526073456317,0.21078188545377868,2.107818854537787
340,0.995,coast-only (tau=1),668,0.035141309273869846,0.34,-0.32805195484688426,3.2805195484688427,1.1084000000000012,11.084000000000012
340,0.995,legacy D10 (warp-5min),148,0.47622912292284114,0.34,-0.17808209820623402,1.7808209820623404,1.100114675362503,11.001146753625031
340,0.995,D16 (warp 5/30min),43,0.8061065909263957,0.34,-0.06592375908502547,0.6592375908502548,1.058941675876047,10.58941675876047
340,0.995,D16 (warp 5/30/60min),33,0.8475428503023452,0.34,-0.051835430897202626,0.5183543089720263,1.070270411318791,10.70270411318791
340,0.997,coast-only (tau=1),668,0.13438962812505592,0.34,-0.294307526437481,2.9430752643748095,0.6650400000000006,6.6504000000000065
340,0.997,legacy D10 (warp-5min),148,0.6410374913000682,0.34,-0.12204725295797683,1.2204725295797683,0.6620533008709785,6.620533008709785
340,0.997,D16 (warp 5/30min),43,0.8788035596734671,0.34,-0.04120678971102118,0.41206789711021174,0.6442621008551999,6.442621008551998
340,0.997,D16 (warp 5/30/60min),33,0.9056079456455164,0.34,-0.03209329848052443,0.32093298480524435,0.6543547903229965,6.543547903229966
340,0.999,coast-only (tau=1),668,0.5125616805934888,0.34,-0.1657290285982138,1.6572902859821383,0.22168000000000024,2.2168000000000023
340,0.999,legacy D10 (warp-5min),148,0.8623672548254323,0.34,-0.04679513335935302,0.4679513335935302,0.2213477016245779,2.213477016245779
340,0.999,D16 (warp 5/30min),43,0.9578907814534663,0.34,-0.014317134305821462,0.1431713430582146,0.21777153218753145,2.1777153218753145
340,0.999,D16 (warp 5/30/60min),33,0.9675225846837673,0.34,-0.011042321207519124,0.11042321207519123,0.22228093661262055,2.2228093661262056
