file,success,cause,gap0_deg,da0_km,e_t,e_s,steps,dv,hohmann,shape_lb,burn_records,warp_share,final_dist_km,final_rvel
ep_0000001.npz,1,1,-10.98,-64.2,0.2902,0.3639,680,325.0,18.7,231.3,15,0.978,29.62,34.68
ep_0000002.npz,1,1,96.3,67.6,0.0236,0.0318,815,260.0,21.2,140.8,11,0.987,29.35,21.56
ep_0000003.npz,1,1,-138.85,364.7,0.2514,0.2481,1848,275.0,69.9,131.4,11,0.994,29.98,11.77
ep_0000004.npz,1,1,-113.46,180.4,0.2561,0.2644,956,285.0,35.1,175.6,12,0.987,29.58,13.42
ep_0000005.npz,1,1,78.65,-52.0,0.2036,0.2723,1364,320.0,11.1,193.0,14,0.99,27.85,41.68
ep_0000006.npz,1,1,-7.56,-410.0,0.1235,0.0763,377,250.0,119.0,163.1,12,0.966,29.85,16.62
ep_0000007.npz,1,1,115.24,300.6,0.0243,0.0373,1246,240.0,81.8,96.5,13,0.99,29.16,22.16
ep_0000008.npz,1,1,22.75,-282.2,0.2465,0.2538,637,265.0,68.3,224.1,13,0.978,29.12,15.02
ep_0000009.npz,1,1,-168.07,329.2,0.28,0.2351,1185,285.0,92.8,202.5,12,0.99,29.03,40.41
ep_0000010.npz,1,1,-26.43,533.1,0.2058,0.1822,1002,265.0,130.5,130.5,14,0.986,30.0,21.37
ep_0000011.npz,1,1,37.85,-521.2,0.2723,0.2812,1114,405.0,179.1,213.8,18,0.984,29.83,29.14
ep_0000012.npz,1,1,101.07,552.0,0.0641,0.1381,891,280.0,166.3,233.2,13,0.984,29.59,17.04
ep_0000013.npz,1,1,72.14,548.9,0.0575,0.0891,866,170.0,111.8,133.9,8,0.991,29.54,24.57
ep_0000014.npz,1,1,12.41,299.8,0.0172,0.0252,366,160.0,105.5,119.0,7,0.981,28.55,36.13
ep_0000015.npz,1,1,98.05,424.1,0.0672,0.0072,908,200.0,104.8,179.4,8,0.991,17.31,36.1
ep_0000016.npz,1,1,125.59,318.4,0.1331,0.1265,1335,160.0,62.0,62.0,7,0.994,29.23,23.15
ep_0000017.npz,1,1,-91.93,-84.2,0.0803,0.086,1012,220.0,24.4,187.5,10,0.99,29.73,19.14
ep_0000018.npz,1,1,5.27,-121.3,0.2657,0.3138,381,240.0,35.8,172.4,12,0.966,29.89,10.25
ep_0000019.npz,1,1,136.85,436.6,0.2804,0.2209,1111,325.0,126.0,241.4,15,0.986,29.12,21.66
ep_0000020.npz,1,1,121.33,206.6,0.0008,0.0628,1078,305.0,54.1,189.6,14,0.986,29.87,29.02
ep_0000021.npz,1,1,-77.08,-107.8,0.2392,0.2721,1238,295.0,32.2,232.6,13,0.989,29.18,20.93
ep_0000022.npz,1,1,-52.47,-562.5,0.2568,0.3292,1013,290.0,148.6,213.7,15,0.985,29.44,11.38
ep_0000023.npz,1,1,-65.69,97.3,0.1179,0.0782,766,250.0,33.3,199.0,10,0.986,29.93,14.29
ep_0000024.npz,1,1,16.8,-498.7,0.2453,0.2729,368,230.0,94.6,184.0,10,0.973,29.38,19.78
ep_0000025.npz,1,1,-99.37,322.7,0.1045,0.1651,1444,280.0,65.2,165.8,15,0.989,29.51,15.22
ep_0000026.npz,1,1,66.4,454.8,0.1178,0.1539,899,235.0,92.4,157.1,12,0.986,29.81,18.13
ep_0000027.npz,1,1,-175.48,496.5,0.1519,0.1896,972,350.0,164.2,248.5,14,0.986,29.37,43.17
ep_0000028.npz,1,1,43.82,-373.3,0.022,0.0227,913,245.0,100.9,100.9,11,0.988,29.76,19.45
ep_0000029.npz,1,1,143.97,-116.0,0.0742,0.1084,1796,320.0,22.1,94.5,16,0.991,29.53,12.93
ep_0000030.npz,1,1,-14.81,245.3,0.0911,0.0336,906,280.0,46.6,210.9,16,0.982,29.9,20.11
ep_0000031.npz,1,1,-71.66,490.0,0.041,0.0196,1014,275.0,95.9,161.8,11,0.988,24.63,49.89
ep_0000032.npz,1,1,147.83,129.7,0.1783,0.1868,2010,305.0,27.0,30.1,14,0.993,29.51,9.08
