file,success,cause,gap0_deg,da0_km,e_t,e_s,steps,dv,hohmann,shape_lb,burn_records,warp_share,final_dist_km,final_rvel
ep_0000001.npz,1,1,-3.6,-106.9,0.4836,0.5756,3843,320.0,15.7,230.0,16,0.078,28.96,20.68
ep_0000002.npz,1,1,98.85,112.6,0.0393,0.0382,3751,170.0,18.5,142.0,11,0.048,29.8,13.17
ep_0000003.npz,1,1,144.51,-206.4,0.1409,0.071,5416,310.0,15.5,143.1,16,0.066,29.44,19.8
ep_0000004.npz,1,1,-130.86,-873.3,0.1929,0.2434,4322,230.0,69.9,186.5,11,0.081,29.43,14.41
ep_0000005.npz,1,1,-65.21,-638.0,0.2717,0.3186,3703,265.0,67.4,114.9,16,0.13,29.94,11.37
ep_0000006.npz,1,1,-9.77,-683.3,0.2059,0.1457,941,340.0,192.6,200.6,15,0.446,28.58,33.99
ep_0000007.npz,1,1,-43.7,286.0,0.3796,0.4023,2161,225.0,74.9,119.5,11,0.25,29.84,17.61
ep_0000008.npz,1,1,-61.47,837.9,0.1998,0.1696,3313,280.0,222.8,222.8,15,0.136,29.87,29.84
ep_0000009.npz,1,1,-16.68,-643.1,0.21,0.2644,1951,330.0,63.9,175.7,21,0.251,29.57,9.72
ep_0000010.npz,1,1,-81.3,-866.6,0.1472,0.0651,887,275.0,219.2,236.9,14,0.372,29.98,13.66
ep_0000011.npz,1,1,22.79,-868.6,0.4538,0.4624,6633,325.0,172.7,222.2,17,0.095,29.1,19.65
ep_0000012.npz,1,1,92.27,920.0,0.1069,0.1994,4195,320.0,139.0,231.8,22,0.079,29.98,15.52
ep_0000013.npz,1,1,72.41,914.9,0.0959,0.1327,2985,215.0,76.2,124.2,14,0.151,29.56,10.38
ep_0000014.npz,1,1,12.0,499.6,0.0287,0.0291,643,160.0,99.3,123.1,7,0.467,29.26,28.05
ep_0000015.npz,1,1,30.01,63.7,0.0733,0.0687,3274,205.0,6.9,16.9,13,0.074,29.99,5.18
ep_0000016.npz,1,1,166.78,-893.1,0.1392,0.0811,2079,240.0,227.3,227.3,13,0.216,28.64,35.51
ep_0000017.npz,1,1,-85.47,-140.3,0.1339,0.134,2599,270.0,38.3,229.5,12,0.164,29.46,18.14
ep_0000018.npz,1,1,2.62,-202.2,0.4428,0.5025,978,220.0,30.4,172.0,10,0.521,29.42,23.97
ep_0000019.npz,1,1,-178.91,63.0,0.0681,0.126,9933,315.0,8.7,139.1,19,0.021,29.64,8.7
ep_0000020.npz,1,1,-35.28,-236.9,0.1639,0.1202,2132,370.0,83.4,323.9,19,0.282,29.85,27.35
ep_0000021.npz,1,1,69.49,-120.1,0.4844,0.4976,4165,175.0,10.4,27.7,13,0.115,29.47,19.44
ep_0000022.npz,1,1,115.84,257.2,0.2094,0.2516,3452,250.0,26.0,182.1,13,0.104,29.92,4.69
ep_0000023.npz,1,1,102.52,-851.0,0.4681,0.5012,5810,230.0,85.4,85.4,16,0.114,29.77,5.59
ep_0000024.npz,1,1,179.36,-807.7,0.1155,0.1635,3920,285.0,117.1,238.5,13,0.092,29.79,15.16
ep_0000025.npz,1,1,5.56,720.0,0.0623,0.1221,1462,200.0,73.4,161.3,11,0.205,29.88,6.89
ep_0000026.npz,1,1,62.47,758.0,0.1964,0.2394,3511,245.0,63.1,145.8,14,0.124,29.94,4.33
ep_0000027.npz,1,1,160.09,827.5,0.2532,0.2965,5896,280.0,146.4,252.4,17,0.051,29.6,22.86
ep_0000028.npz,1,1,42.95,-622.2,0.0366,0.0317,3276,290.0,81.8,81.8,19,0.092,29.89,9.13
ep_0000029.npz,1,1,134.25,-418.2,0.1236,0.1663,5408,210.0,32.0,87.1,12,0.066,29.77,14.25
ep_0000030.npz,1,1,-21.21,324.2,0.1519,0.0699,2703,295.0,24.6,194.0,16,0.528,29.63,8.93
ep_0000031.npz,1,1,-74.23,778.2,0.0684,0.0112,4459,270.0,61.3,149.2,15,0.149,29.81,6.9
ep_0000032.npz,1,1,119.37,216.2,0.2972,0.3077,6390,290.0,18.8,28.1,18,0.18,29.99,5.92
ep_0000033.npz,1,1,1.97,-512.6,0.4438,0.458,1653,210.0,40.2,141.8,12,0.23,29.74,10.71
ep_0000034.npz,1,1,-87.63,912.3,0.3044,0.359,5403,290.0,69.2,158.2,13,0.198,29.89,4.07
ep_0000035.npz,1,1,-145.99,-161.3,0.461,0.4645,4720,225.0,12.5,55.7,14,0.234,28.98,18.71
ep_0000036.npz,1,1,125.84,936.6,0.2454,0.2621,5187,230.0,88.9,199.3,11,0.093,30.0,5.73
ep_0000037.npz,1,1,-31.33,-448.6,0.4971,0.4238,898,220.0,89.0,196.7,10,0.989,28.82,46.56
ep_0000038.npz,1,1,172.1,293.9,0.3132,0.3435,4615,245.0,31.6,106.6,16,0.039,29.49,11.59
ep_0000039.npz,1,1,-41.66,-308.9,0.1023,0.1709,2099,240.0,36.8,181.8,14,0.171,29.89,23.81
ep_0000040.npz,1,1,-23.89,149.1,0.2468,0.3102,1611,305.0,30.0,192.4,15,0.298,29.69,10.7
ep_0000041.npz,1,1,160.09,-992.7,0.4195,0.3918,1322,260.0,205.7,205.7,13,0.363,29.23,20.7
ep_0000042.npz,1,1,-138.01,303.6,0.4045,0.4203,5057,125.0,65.4,67.0,5,0.089,29.93,31.73
ep_0000043.npz,1,1,27.01,881.1,0.3533,0.3298,2917,165.0,69.4,136.0,9,0.165,29.63,10.56
ep_0000044.npz,1,1,119.19,890.0,0.2616,0.3423,5509,295.0,94.7,202.3,19,0.071,29.89,8.99
ep_0000045.npz,1,1,146.21,-360.7,0.39,0.3758,5297,280.0,31.4,180.0,16,0.147,29.87,10.56
ep_0000046.npz,1,1,49.41,100.7,0.052,0.0837,3083,215.0,13.7,118.6,16,0.039,29.74,7.27
ep_0000047.npz,1,1,132.27,219.0,0.0754,0.1589,3889,235.0,22.1,189.5,13,0.093,29.93,7.18
ep_0000048.npz,1,1,57.05,-376.2,0.3568,0.3853,4323,355.0,34.6,152.2,23,0.204,29.89,8.51
ep_0000049.npz,1,1,-106.28,-675.0,0.2442,0.1923,4902,180.0,50.6,143.1,9,0.154,29.45,12.52
ep_0000050.npz,1,1,14.4,861.1,0.1933,0.1585,1969,190.0,90.3,99.7,13,0.0,29.75,8.21
ep_0000051.npz,1,1,67.33,684.2,0.1061,0.1898,2650,270.0,72.5,189.8,12,0.18,29.44,16.15
ep_0000052.npz,1,1,30.82,827.0,0.4165,0.3768,1857,275.0,69.3,198.2,16,0.41,29.85,15.54
ep_0000053.npz,1,1,163.89,-964.2,0.139,0.2185,5158,380.0,89.6,166.9,20,0.089,29.76,13.79
ep_0000054.npz,1,1,163.82,673.7,0.4267,0.3497,6019,265.0,93.3,205.8,12,0.07,29.7,8.39
ep_0000055.npz,1,1,-35.2,-771.5,0.3845,0.3891,4402,305.0,87.4,172.2,21,0.027,29.99,9.29
ep_0000056.npz,1,1,-82.27,834.5,0.2366,0.2677,5443,260.0,75.2,108.0,14,0.038,29.74,11.54
ep_0000057.npz,1,1,-173.65,-301.1,0.372,0.3949,5810,165.0,32.2,140.3,8,0.021,29.94,6.91
ep_0000058.npz,1,1,-95.52,263.6,0.3732,0.4185,5643,230.0,45.3,161.4,11,0.064,29.77,12.35
ep_0000059.npz,1,1,35.1,840.8,0.3022,0.2473,1118,240.0,81.5,199.2,14,0.343,29.95,10.35
ep_0000060.npz,1,1,-112.35,-64.4,0.237,0.186,3743,290.0,18.8,199.5,15,0.08,29.4,21.01
ep_0000061.npz,1,1,-70.24,-353.4,0.1799,0.2224,4854,280.0,44.3,111.6,21,0.025,29.46,11.51
ep_0000062.npz,1,1,102.64,333.7,0.0693,0.0912,2962,185.0,26.4,174.8,8,0.208,29.86,17.45
ep_0000063.npz,1,1,-90.88,851.4,0.4272,0.3573,4516,255.0,71.5,143.2,14,0.12,29.13,17.18
ep_0000064.npz,1,1,-48.49,-148.4,0.1098,0.1213,1169,160.0,25.8,82.8,7,0.224,29.51,18.78
ep_0000065.npz,1,1,142.25,-750.0,0.1325,0.1419,5495,360.0,84.1,219.4,23,0.079,29.98,8.88
ep_0000066.npz,1,1,-112.18,51.1,0.3213,0.2629,4338,200.0,3.9,129.7,11,0.126,29.94,4.25
ep_0000067.npz,1,1,-9.49,-958.9,0.2537,0.3279,491,300.0,202.2,255.7,15,0.673,29.31,29.82
ep_0000068.npz,1,1,-1.35,-482.9,0.4868,0.5575,1061,195.0,41.6,154.8,9,0.144,29.33,26.38
ep_0000069.npz,1,1,-154.87,-413.8,0.2885,0.3006,4287,255.0,46.4,206.0,14,0.049,29.78,11.42
ep_0000070.npz,1,1,99.1,753.2,0.0806,0.1045,1118,230.0,181.5,181.5,10,0.295,29.11,17.06
ep_0000071.npz,1,1,100.42,-78.1,0.3396,0.3963,4206,290.0,11.0,192.7,16,0.043,29.59,9.93
ep_0000072.npz,1,1,-5.98,576.2,0.212,0.2741,2038,305.0,65.1,180.7,16,0.198,29.62,8.32
ep_0000073.npz,1,1,-37.12,-986.0,0.483,0.4712,2917,245.0,128.7,154.1,13,0.216,29.97,11.35
ep_0000074.npz,1,1,94.91,496.0,0.3523,0.4264,2036,350.0,106.4,212.1,16,0.295,29.82,18.25
ep_0000075.npz,1,1,135.79,89.6,0.2918,0.3012,5234,220.0,11.0,35.8,17,0.069,29.36,17.69
ep_0000076.npz,1,1,157.08,-748.4,0.4046,0.3891,4013,90.0,100.9,100.9,5,0.045,28.8,30.02
ep_0000077.npz,1,1,154.02,-821.2,0.4022,0.4689,3024,320.0,88.6,159.3,14,0.139,29.3,22.4
ep_0000078.npz,1,1,-128.17,472.5,0.377,0.4228,4524,295.0,108.6,218.3,13,0.106,29.46,23.46
ep_0000079.npz,1,1,-97.51,-93.1,0.4184,0.4943,5067,270.0,8.8,205.1,12,0.145,29.96,9.41
ep_0000080.npz,1,1,-132.97,-845.3,0.0235,0.0875,2354,240.0,155.0,182.5,12,0.191,29.99,12.7
ep_0000081.npz,1,1,60.15,133.5,0.1408,0.1095,3003,335.0,29.6,248.3,20,0.23,29.8,15.7
ep_0000082.npz,1,1,16.14,122.0,0.1562,0.1975,923,180.0,34.0,130.0,9,0.521,29.16,15.82
ep_0000083.npz,1,1,17.61,-765.0,0.0066,0.0801,1552,335.0,257.5,265.8,16,0.232,29.48,23.41
ep_0000084.npz,1,1,128.01,499.6,0.2026,0.114,3439,300.0,73.4,228.5,18,0.131,29.56,10.32
ep_0000085.npz,1,1,114.49,990.4,0.4359,0.4088,5684,270.0,92.3,174.4,19,0.158,29.72,10.77
ep_0000086.npz,1,1,-170.31,759.8,0.4342,0.3792,3528,175.0,98.7,131.7,9,0.051,29.44,19.26
