condition,obs_source,sigma_rho_m,sigma_beta_rad,episodes,gave_up,successes,success_rate,mean_ep_len,pos_rmse_mean_m,pos_rmse_median_m,pos_rmse_p95_m,vel_rmse_mean_ms,vel_rmse_median_ms,pos_rmse_settled_m,vel_rmse_settled_ms,pos_rmse_settled_median_m,vel_rmse_settled_median_ms,term_pos_err_mean_m,term_vel_err_mean_ms,nees_in_bounds,nis_in_bounds,hyperbolic_est_steps,frac_episodes_diverged,cause_success,cause_collision,cause_escape,cause_safety_cap,cause_stranded,cause_hyperbolic
truth_wl4,truth,50.0,1.0e-03,200,0,200,1.0000,1045.1,2778.55,2231.83,7453.70,121.9447,109.9996,8.97,0.0052,6.57,0.0033,4.52,0.0024,0.9320,0.9477,0,0.0000,200,0,0,0,0,0
recon_wl4,recon,50.0,1.0e-03,200,0,200,1.0000,1045.1,2778.55,2231.83,7453.70,121.9447,109.9996,8.97,0.0052,6.57,0.0033,4.52,0.0024,0.9320,0.9477,0,0.0000,200,0,0,0,0,0
ekf_1x_wl4,ekf,50.0,1.0e-03,200,0,200,1.0000,1107.8,2506.05,1929.07,6276.92,117.7164,104.4828,12.99,0.0071,6.43,0.0033,4.20,0.0021,0.9349,0.9498,0,0.0000,200,0,0,0,0,0
ekf_3x_wl4,ekf,150.0,3.0e-03,200,0,199,0.9950,1101.2,7135.92,5433.97,17487.55,123.1770,111.4845,35.08,0.0199,20.57,0.0111,11.58,0.0060,0.9182,0.9452,0,0.0000,199,0,0,0,1,0
ekf_10x_wl4,ekf,500.0,1.0e-02,200,0,200,1.0000,1113.1,23639.07,18172.26,63918.60,128.6331,112.8528,142.53,0.0773,74.91,0.0387,48.43,0.0240,0.7602,0.9478,0,0.0000,200,0,0,0,0,0
ekf_30x_wl4,ekf,1500.0,3.0e-02,200,0,193,0.9650,1113.7,297156.54,57023.10,238048.79,271.9512,133.9563,272720.42,159.8773,329.93,0.1612,308904.60,194.0508,0.4986,0.8804,1,0.0050,193,0,0,0,7,0
ekf_100x_wl4,ekf,5000.0,1.0e-01,200,0,159,0.7950,1153.5,1811198.34,187207.82,13397613.36,890.0015,181.2855,1904516.92,830.1907,2136.30,1.0505,2510538.73,1031.6874,0.3098,0.7067,0,0.0000,159,0,0,1,40,0
ekf_100x_wl4@inject=a_e,ekf,5000.0,1.0e-01,200,0,156,0.7800,988.3,2197711.10,237951.28,13387033.05,1072.6129,196.0292,2338718.24,1043.2100,3965.82,2.1691,2452864.69,1061.7432,0.2378,0.6742,13,0.0200,156,0,0,0,44,0
ekf_100x_wl4@inject=omega,ekf,5000.0,1.0e-01,200,0,200,1.0000,1048.9,1560591.40,206878.30,10791496.65,906.8968,202.4938,1430851.57,769.8838,2307.42,1.2535,284877.45,175.2544,0.3099,0.6961,19,0.0550,200,0,0,0,0,0
ekf_100x_wl4@inject=lam,ekf,5000.0,1.0e-01,200,0,167,0.8350,1397.7,14677103196.88,216166.08,17127024.80,8314739.1171,183.5986,16696226843.46,9458526.1903,2212.60,1.3265,87796877515.05,17092608.7895,0.2362,0.5155,21,0.0600,167,0,0,12,21,0
ekf_100x_wl4@inject=lvlh,ekf,5000.0,1.0e-01,200,0,160,0.8000,1616.0,2631960.49,219209.37,15733311.47,1271.8482,211.0325,2584842.58,1132.1712,2715.05,1.4884,2444078.45,1045.6804,0.1840,0.4566,29,0.0450,160,1,0,18,21,0
